"Messages";"Messages"
"Send a New Message";"Send a New Message"
"See All Messages";"See All Messages"
"You have no new messages.";"You have no new messages."
"Friend Requests";"Friend Requests"
"You have no new friend requests.";"You have no new friend requests."
"Find Friends";"Find Friends"
"See All Friend Requests";"See All Friend Requests"
"Notifications";"Notifications"
"See All Notifications";"See All Notifications"
"You have no new updates.";"You have no new updates."
"Your Notifications";"Your Notifications"
"You have no notifications.";"You have no notifications."
"Mark All Read";"Mark All Read"
"View More";"View More"
"Loading ...";"Loading ..."
"Friend Request (%d)";"Friend Request (%d)";"Friend Requests (%d)"
"You have no requests.";"You have no requests."
"Friend request has been canceled.";"Friend request has been canceled."
"Friend request accepted.";"Friend request accepted."
"%s mutual friend";"%s mutual friend";"%s mutual friends"
"Confirm";"Confirm"
"Not Now";"Not Now"
