"There are no such classes yet.";"There are no such classes yet."
"CLASSES_TYPE_PAST";"Classes that I hosted or attended in the past"
"List By:";"Sort By:"
"ADD_CLASS_STARTER";"+ add another starter"
"ADD_CLASS_MAIN";"+ add additional part of the Main Course"
"ADD_CLASS_DESSERT";"+ add another dessert"
"ADD_CLASS_BEVERAGES";"+ add another beverage"
"ADD_CLASS_TAKEAWAYS";"+ add additional part of the takeaways"
"At least on course must contain entry!";"At least one class must contain entry!"
"FORM_CREATE_ACCOUNT_DESCRIPTION";"Please fill out a form below in order to create your account."
"CLASSES_FIRST_STEP_GUEST_DESCRIPTION";"Invite people from all over the world to Eat With you! Share with them your favorite dishes and unique cultural insights. As a <b>happetite</b> guest, you can nurture your passion for cooking and hosting, show off your cooking skills and connect with people from around the globe. Invite people from all over the world to Eat With you!

Share with them your favorite dishes and unique cultural insights. As a <b>happetite</b> guest, you can nurture your passion for cooking and hosting, show off your cooking skills and connect with people from around the globe."
"CLASSES_FIRST_STEP_HOST_DESCRIPTION";"Invite people from all over the world to Eat With you! Share with them your favorite dishes and unique cultural insights.

As a <b>happetite</b> host, you can nurture your passion for cooking and hosting, show off your cooking skills and connect with people from around the globe."
"FORM_PROFILE_INFORMATION_DESCRIPTION";"Please fill out your personal information below."
"FORM_ADD_PHOTO_DESCRIPTION";"Please upload your photo."
"Start Time";"Start Date and Time"
"End time cannot be before start time";"End time cannot be before start time"
"Note: If you leave this field empty, participant will be able to apply for the class until you press the mark class as fully booked"" button in the class profile.""";"Note: If you leave this field empty, participant will be able to apply for the class until you press the mark class as fully booked"" button in the class profile."""
"_EMAIL_NOTIFY_MESSAGE_SYSTEM_NEW_REQUEST_SUBJECT";"[sender_title] has requested to join the class [object_title]"
"_EMAIL_NOTIFY_MESSAGE_SYSTEM_NEW_REQUEST_BODY";"[header]

[sender_title] has requested to join the class ""[object_title]"".
Please accept him until [limit_date].

http://[host][object_link]

[footer]"
"_EMAIL_NOTIFY_MESSAGE_SYSTEM_NEW_APPROVE_SUBJECT";"You have been approved to join the class [object_title]"
"_EMAIL_NOTIFY_MESSAGE_SYSTEM_NEW_APPROVE_BODY";"[header]

You have been approved to join the class ""[object_title]"".

All that is left is the payment. You have time until [limit_date] to pay for the class.

Please click the following link to view it:

http://[host][object_link]

[footer]"
"Upcoming Events";"Classes of the Future"
"Upcoming Events";"Upcoming classes"
"There are no such classes yet.";"Oops, no class has been created yet. Come back later"
"CLASSES_TYPE_PAST";"Awesome classes that I hosted or attended in the past"
"ADD_CLASS_MAIN";"+ add an additional main course"
"ADD_CLASS_TAKEAWAYS";"+ add an additional takeaway"
"At least on course must contain entry!";"Oops, at least one class must contain an entry!"
"FORM_CREATE_ACCOUNT_DESCRIPTION";"Please fill out the form below in order to create your account."
"CLASSES_FIRST_STEP_GUEST_DESCRIPTION";"Hahaha

Invite people from all over the world to Eat With you! Share with them your favorite dishes and unique cultural insights. As a <b>happetite</b> guest, you can nurture your passion for cooking and hosting, show off your cooking skills and connect with people from around the globe. Invite people from all over the world to Eat With you!

Share with them your favorite dishes and unique cultural insights. As a <b>happetite</b> guest, you can nurture your passion for cooking and hosting, show off your cooking skills and connect with people from around the globe."
"SOCIALBRIDGE_ADMIN_SETTINGS_FACEBOOK_DESCRIPTION";"You can now integrate SocialEngine to Facebook. To do so, create an Application through the <a href=""%1$s"" target=""_blank"">Facebook Developers</a> page."
"SOCIALBRIDGE_ADMIN_SETTINGS_TWITTER_DESCRIPTION";"You can now integrate SocialEngine
to Twitter. To do so, create an Application through the
<a href=""%1$s"" target=""_blank"">Twitter Developers</a> page."
"SOCIALBRIDGE_ADMIN_SETTINGS_LINKEDIN_DESCRIPTION";"You can now integrate SocialEngine
to Linkedin. To do so, create an Application through the
<a href=""%1$s"" target=""_blank"">Linkedin Developers</a> page."
"Some invitations were added to queue!";"Some invitations were added to queue!"
"We'll import your address book to suggest connections and help you manage your contacts. And we won't store your password or email anyone without your permission.";"We'll import your address book to suggest connections and help you manage your contacts. And we won't store your password or email anyone without your permission."
"Your contacts are safe with us!";"Your contacts are safe with us!"
"Social Bridge";"Social Bridge"
"Connections";"Connections"
"Connect to %s";"Connect to %s"
"Connected as";"Connected as"
"Are you sure you want to disconnect this account?";"Are you sure you want to disconnect this account?"
"Click here";"Click here"
" to disconnect.";" to disconnect."
"Event";"Class"
"Events";"Classes"
"Event Photos";"Class Photos"
"Past Events";"Past Classes"
"My Events";"My Classes"
"view";"view"
"Photo";"Photo"
"of";"of"
"Prev";"Prev"
"Next";"Next"
"By";"By"
"View All Events";"View All Classes"
"EVENT_MEMBER_STATUS_";"Error Status"
"EVENT_MEMBER_STATUS_0";"Applied"
"EVENT_MEMBER_STATUS_1";"Accepted"
"EVENT_MEMBER_STATUS_6";"Timed Out"
"EVENT_SYSTEM_USER_TIMEOUT_SUBJECT";"EVENT_SYSTEM_USER_TIMEOUT_SUBJECT"
"You have recently applied to the class %1$s. %2$s has accepted your request and would be happy to welcoming you to his event. All that is left is the payment. Please click the link below in order to pay the full amount of %3$s. %4$s You have time until %5$s";"You have recently applied to the class %1$s.
%2$s has accepted your request and would be happy to welcoming you to his event.
All that is left is the payment. Please click the link below in order to pay the full amount of %3$s. %4$s
You have time until %5$s"
"EVENT_SYSTEM_USER_ABOUT_TIMEOUT_SUBJECT";"EVENT_SYSTEM_USER_ABOUT_TIMEOUT_SUBJECT"
"Dear %1$s, you were accepted for the class %2$s. We would like to kindly remind you to pay the class fee of %3$s by %4$s. %5$s You have time until %6$s";"Dear %1$s, you were accepted for the class %2$s. We would like to kindly remind you to pay the class fee of %3$s by %4$s. %5$s You have time until %6$s"
"EVENT_SYSTEM_USER_PAID_TIMEOUT_SUBJECT";"EVENT_SYSTEM_USER_PAID_TIMEOUT_SUBJECT"
"EVENT_SYSTEM_HOST_PAID_TIMEOUT_SUBJECT";"EVENT_SYSTEM_HOST_PAID_TIMEOUT_SUBJECT"
"You have recently accepted %1$s to the class %2$s. Unfortunately %1$s has not paid within the given timeframe of three days. He was notified that he has not paid and that he has to apply for the class again if he still wants to join.";"You have recently accepted %1$s to the class %2$s.
Unfortunately %1$s has not paid within the given timeframe of three days. He was notified that he has not paid and that he has to apply for the class again if he still wants to join."
"Time";"Time"
"Time:";"Date:"
"End Time";"End Time"
"Please select a time from the dropdown.";"Please select a time from the dropdown."
"Time left for pay: ";"Time left for pay: "
"You have recently accepted %1$s to the class %2$s. Unfortunately %1$s has not paid within the given timeframe of 24 hours. He was notified that he has 24 hours and that he has to apply for the class again if he still wants to join.";"You have recently accepted %1$s to the class %2$s. Unfortunately %1$s has not paid within the given timeframe of 24 hours. He was notified that he has 24 hours and that he has to apply for the class again if he still wants to join."
"One-time fee of %1$s";"One-time fee of %1$s"
"The member will be placed into this level upon subscribing to this plan. If left empty, the default level at the time a subscription is chosen will be used.";"The member will be placed into this level upon subscribing to this plan. If left empty, the default level at the time a subscription is chosen will be used."
"The amount to charge the member. This will be charged once for one-time plans, and each billing cycle for recurring plans. Setting this to zero will make this a free plan.";"The amount to charge the member. This will be charged once for one-time plans, and each billing cycle for recurring plans. Setting this to zero will make this a free plan."
"One-time";"One-time"
"When should this plan expire? For one-time plans, the plan will expire after the period of time set here. For recurring plans, the user will be billed at the above billing cycle for the period of time specified here.";"When should this plan expire? For one-time plans, the plan will expire after the period of time set here. For recurring plans, the user will be billed at the above billing cycle for the period of time specified here."
"Please pay a one-time fee to continue:";"Please pay a one-time fee to continue:"
"Please select a time from the dropdown";"Please select a time from the dropdown"
"AM/PM value selected without specifying a time";"AM/PM value selected without specifying a time"
"_CORE_HELP_CONTACT_MESSAGE";"Name: %1$s
Email: %2$s
Member Info: (%3$s - %4$s)
IP: %5$s
User-agent: %6$s
Timestamp: %7$s
Message:
    %8$s"
"CORE_VIEWS_SCRIPTS_ADMINSTATS_INDEX_DESCRIPTION";"Stay connected to the pulse of your community by observing your site-wide statistics. The filters below allow you to observe various metrics and their change over different time periods."
"(UTC-8) Pacific Time (US & Canada)";"(UTC-8) Pacific Time (US & Canada)"
"(UTC-7) Mountain Time (US & Canada)";"(UTC-7) Mountain Time (US & Canada)"
"(UTC-6) Central Time (US & Canada)";"(UTC-6) Central Time (US & Canada)"
"(UTC-5) Eastern Time (US & Canada)";"(UTC-5) Eastern Time (US & Canada)"
"(UTC-4)  Atlantic Time (Canada)";"(UTC-4)  Atlantic Time (Canada)"
"Greenwich Mean Time (Lisbon, London)";"Greenwich Mean Time (Lisbon, London)"
"Default Timezone";"Default Timezone"
"CORE_FORM_ADMIN_SETTINGS_LOCALE_DESCRIPTION";"Please select a default timezone setting for your social network. This will be the default timezone applied to users' accounts if they do not select a timezone during signup, or if they are not signed in. Select the default locale you want to use on your social network. This will affect the language of the dates that appear on your social network pages."
"CORE_FORM_ADMIN_MESSAGE_MAIL_DESCRIPTION";"Using this form, you will be able to send an email out to all of your members. Emails are sent out using a queue system, so they will be sent out over time. An email will be sent to you when all emails have been sent."
"Cache Lifetime";"Cache Lifetime"
"CORE_FORM_ADMIN_SETTINGS_PERFORMANCE_LIFETIME_DESCRIPTION";"This determines how long
the system will keep cached data before reloading it from the database server. A
shorter cache lifetime causes greater database server CPU usage, however the data
will be more current. We recommend starting off with 60-120 seconds."
"CORE_FORM_ADMIN_SETTINGS_PERFORMANCE_ENABLE_DESCRIPTION";"Enable caching? Enabling
caching will decrease the CPU
usage of your database server (resulting in a decrease of page load
times). While some non-critical data may appear slightly out of date,
this will usually not be noticeable to users. For example, some of the
general site statistics on your homepage may take longer to update.
This will not be noticeable if your social network is already large and
populated with a lot of data"
"Timeout";"Timeout"
"Tasks are considered to have timed out after %1$d seconds.";"Tasks are considered to have timed out after %1$d seconds."
"Upload: {bytesLoaded} with {rate}, {timeRemaining} remaining.";"Upload: {bytesLoaded} with {rate}, {timeRemaining} remaining."
