"Event";"Class"
"Events";"Classes"
"Event Photos";"Class Photos"
"Past Events";"Past Classes"
"My Events";"My Classes"
"view";"view"
"Photo";"Photo"
"of";"of"
"Prev";"Prev"
"Next";"Next"
"By";"By"
"View All Events";"View All Classes"

# Guest statuses in class
"EVENT_MEMBER_STATUS_";"Error Status"
"EVENT_MEMBER_STATUS_0";"Applied"
# status_1 => before remind message (3 days)
"EVENT_MEMBER_STATUS_1";"Accepted"
# status_2 => after remind message (3 days)
"EVENT_MEMBER_STATUS_2";"Accepted"
"EVENT_MEMBER_STATUS_3";"Paid"
"EVENT_MEMBER_STATUS_4";"Refund"
"EVENT_MEMBER_STATUS_5";"Refunded"

"EVENT_MEMBER_STATUS_6";"Timed Out"
"EVENT_MEMBER_STATUS_7";"Rejected"
"EVENT_MEMBER_STATUS_8";"Canceled"
"EVENT_MEMBER_STATUS_9";"Canceled Late"
"EVENT_MEMBER_STATUS_11";"Not Paid"

"EVENT_MEMBER_STATUS_10";"Host"
"EVENT_MEMBER_STATUS_CANCELED";"Canceled"

"ADMIN_FORM_PAY_HOST_INFO %1$s %2$s %3$s %4$s %5$s";"<b>Banking Information:</b>
IBAN: %1$s
BIC: %2$s
Name: %3$s
Address: %4$s
Country of Beneficiary: %5$s"

# PM Messages
"EVENT_HOST_CANCELED_MEMBER_SUBJECT";"The Class has been cancelled"
"Host has cancelled the Event. You have recently applied for the class %1$s. Unfortunately %2$s has cancelled the class. There are several reasons why this might have happened. We hope you are able to enjoy another class with Happetite.%3$s";"Host has cancelled the Event. You have recently applied for the class %1$s. Unfortunately %2$s has cancelled the class. There are several reasons why this might have happened. We hope you are able to enjoy another class with Happetite.
%3$s"

"EVENT_HOST_CANCELED_ADMIN_SUBJECT";"The Class has been cancelled"
"The Class %1$s has been cancelled. Please start the refund process.";"The Class %1$s has been cancelled. Please start the refund process."

"EVENT_USER_CANCELED_HOST_SUBJECT";"EVENT_USER_CANCELED_HOST_SUBJECT"
"You have recently accepted %1$s to attend the class %2$s. He has cancelled his attendance.%3$s";"You have recently accepted %1$s to attend the class %2$s. He has cancelled his attendance.
%3$s"

"EVENT_USER_CANCELED_HOST_LESS48_SUBJECT";"EVENT_USER_CANCELED_HOST_LESS48_SUBJECT"
"Guest has paid but cancelled late. You have recently accepted %1$s to the class %2$s. Unfortunately %3$s has cancelled his attendance. Since he cancelled in such a short notice, you will still receive your money.%4$s";"Guest has paid but cancelled late. You have recently accepted %1$s to the class %2$s. Unfortunately %3$s has cancelled his attendance. Since he cancelled in such a short notice, you will still receive your money.
%4$s"

"EVENT_USER_CANCELED_ADMIN_LESS48_SUBJECT";"EVENT_USER_CANCELED_ADMIN_LESS48_SUBJECT"
"Guest has paid for class %1$s but cancelled and gets refunded. Please go to the admin panel (%2$s) to refund his money.%3$s";"Guest has paid for class %1$s but cancelled and gets refunded. Please go to the admin panel (%2$s) to refund his money.
Bank Account Information: %3$s"

"EVENT_USER_CANCELED_USER_LESS48_SUBJECT";"EVENT_USER_CANCELED_USER_LESS48_SUBJECT"
"Your cancellation was late. You have recently booked the class %1$s. Unfortunately your cancellation was on short notice and your money will be paid to the host nevertheless.";"Your cancellation was late. You have recently booked the class %1$s. Unfortunately your cancellation was on short notice and your money will be paid to the host nevertheless."

"EVENT_USER_CANCELED_HOST_MORE48_SUBJECT";"EVENT_USER_CANCELED_HOST_MORE48_SUBJECT"
"Guest has paid but cancelled early. You have recently accepted %1$s to the class %2$s. %1$s has cancelled his attendance. Since he cancelled early enough, we will refund his money and you’re free to accept another guest instead.%3$s";"Guest has paid but cancelled early. You have recently accepted %1$s to the class %2$s. %1$s has cancelled his attendance. Since he cancelled early enough, we will refund his money and you’re free to accept another guest instead.
%3$s"

"EVENT_HOST_FINISH_SUBJECT";"EVENT_HOST_FINISH_SUBJECT"
"You have just recently held the Class %1$s. Please confirm that the class has successfully taken place by clicking the button below.%2$s";"You have just recently held the Class %1$s. Please confirm that the class has successfully taken place by clicking the button below.
%2$s"

"EVENT_SYSTEM_USER_TIMEOUT_SUBJECT";"EVENT_SYSTEM_USER_TIMEOUT_SUBJECT"
"You have recently applied to the class %1$s. Unfortunately %2$s was not able to react to your application within 24 hours, you are most welcome to try and apply again to this class or choose any other class you desire to join.";"You have recently applied to the class %1$s.
Unfortunately %2$s was not able to react to your application within 24 hours, you are most welcome to try and apply again to this class or choose any other class you desire to join."

"EVENT_HOST_USER_REJECT_SUBJECT";"EVENT_HOST_USER_REJECT_SUBJECT"
"You have recently applied to the class %1$s. Unfortunately %2$s could not accept you for this class, there can be multiple reasons for that, mostly because the class is already fully booked or you would not fit into the group %2$s is trying to invite. But don’t be discouraged, there are many more classes out there for you to join.%3$s";"You have recently applied to the class %1$s.
Unfortunately %2$s could not accept you for this class, there can be multiple reasons for that, mostly because the class is already fully booked or you would not fit into the group %2$s is trying to invite. But don’t be discouraged, there are many more classes out there for you to join.
%3$s"

"EVENT_HOST_USER_ACCEPT_SUBJECT";"EVENT_HOST_USER_ACCEPT_SUBJECT"
"EVENT_USER_HOST_ACCEPTED_PAYNOW_SUBJECT";"EVENT_USER_HOST_ACCEPTED_PAYNOW_SUBJECT"
"You have recently applied to the class %1$s. %2$s has accepted your request and would be happy to welcoming you to his event. All that is left is the payment. Please click the link below in order to pay the full amount of %3$s. %4$s You have time until %5$s";"You have recently applied to the class %1$s.
%2$s has accepted your request and would be happy to welcoming you to his event.
All that is left is the payment. Please click the link below in order to pay the full amount of %3$s. %4$s
You have time until %5$s"

"EVENT_SYSTEM_USER_ABOUT_TIMEOUT_SUBJECT";"EVENT_SYSTEM_USER_ABOUT_TIMEOUT_SUBJECT"
"Dear %1$s, you were accepted for the class %2$s. We would like to kindly remind you to pay the class fee of %3$s by %4$s. %5$s You have time until %6$s";"Dear %1$s, you were accepted for the class %2$s. We would like to kindly remind you to pay the class fee of %3$s by %4$s. %5$s You have time until %6$s"

"EVENT_SYSTEM_USER_PAID_TIMEOUT_SUBJECT";"EVENT_SYSTEM_USER_PAID_TIMEOUT_SUBJECT"
"Dear %1$s, you were accepted for the class %2$s. Unfortunately we have not received the payment of the class fee so far. If you still would like to join the class, you will have to apply again. You are most welcome to apply for any other class you desire to join.";"Dear %1$s, you were accepted for the class %2$s.
Unfortunately we have not received the payment of the class fee so far. If you still would like to join the class, you will have to apply again. You are most welcome to apply for any other class you desire to join."

"EVENT_SYSTEM_HOST_PAID_TIMEOUT_SUBJECT";"EVENT_SYSTEM_HOST_PAID_TIMEOUT_SUBJECT"
"You have recently accepted %1$s to the class %2$s. Unfortunately %1$s has not paid within the given timeframe of three days. He was notified that he has not paid and that he has to apply for the class again if he still wants to join.";"You have recently accepted %1$s to the class %2$s.
Unfortunately %1$s has not paid within the given timeframe of three days. He was notified that he has not paid and that he has to apply for the class again if he still wants to join."

"EVENT_HOST_ADMIN_VERIFIED_SUBJECT";"EVENT_HOST_ADMIN_VERIFIED_SUBJECT"
"The class %1$s led by %2$s has successfully ended and has been verified by the host. Please go to the admin panel (%3$s) and pay the host.";"The class %1$s led by %2$s has successfully ended and has been verified by the host. Please go to the admin panel (%3$s) and pay the host."

"EVENT_USER_HOST_REQUEST_SUBJECT";"EVENT_USER_HOST_REQUEST_SUBJECT"
"You have a new applicant for your Class %1$s. Please go to the %2$s and approve/reject the applicant within the next 24 hours, i.e. until %3$s.";"You have a new applicant for your Class %1$s. Please go to the %2$s and approve/reject the applicant within the next 24 hours, i.e. until %3$s."

"EVENT_USER_USER_PAID_SUBJECT";"EVENT_USER_USER_PAID_SUBJECT"
"Thank you for your payment. You are now fully approved for the class %s.";"Thank you for your payment. You are now fully approved for the class %s."

"CANCEL_REASON_GUEST_";""
"CANCEL_REASON_GUEST_1";"Reason 1"
"CANCEL_REASON_GUEST_2";"Reason 2"
"CANCEL_REASON_GUEST_3";"Reason 3"
"CANCEL_REASON_ADMIN_";""
"CANCEL_REASON_ADMIN_1";"Reason 1"
"CANCEL_REASON_ADMIN_2";"Reason 2"
"CANCEL_REASON_ADMIN_3";"Reason 3"
"CANCEL_REASON_HOST_";""
"CANCEL_REASON_HOST_1";"Reason 1"
"CANCEL_REASON_HOST_2";"Reason 2"
"CANCEL_REASON_HOST_3";"Reason 3"

"EVENT_VIEWS_SCRIPTS_ADMINMANAGE_COURSES_USERS_DESCRIPTION";"Description"

"Delete Event:";"Delete Class:"
"Create New Event";"Create New Class"
"Edit Event";"Edit Class"
"Join Event";"Attend a Class!"
"Delete Event";"Delete Class"
"Leave Event";"Leave Class"
"led by";"led by"
"Upload Photos";"Upload Photos"

"Nobody has created an class yet.";"Nobody has created an class yet."
"Be the first to %1$screate%2$s one!";"Be the first to %1$screate%2$s one!"
"Tip: %1$sClick here%2$s to create a class or %3$sbrowse%2$s for classes to join!";"Tip: %1$sClick here%2$s to create a class or %3$sbrowse%2$s for classes to join!"

"event";"class";"classes"
"%s event";"%s class";"%s classes"
"%s event invite";"%s class invite";"%s class invites"
"%s guest";"%s guest";"%s guests"
"%s member";"%s member";"%s members"

"Close";"Close"

"&#187; Photos";"&#187; Photos"
"&#187;";"&#187;"
"Photos";"Photos"


"Type a tag or select a name from the list.";"Type a tag or select a name from the list."
"Tagged:";"Tagged:"

"Added";"Added"
"ADD TAG";"ADD TAG"
"Add Tag";"Add Tag"
"Edit";"Edit"
"Delete";"Delete"
"Share";"Share"
"Report";"Report"
"Make Profile Photo";"Make Profile Photo"
"Quote";"Quote"

"&#187; Discussions";"&#187; Discussions"
"Discussions";"Discussions"

"Back to Event";"Back to Class"
"Post New Topic";"Post New Topic"
"reply";"reply";"replies"
"Last Post";"Last Post"

"Back to Topics";"Back to Topics"
"Post Reply";"Post Reply"
"Make Sticky";"Make Sticky"
"Remove Sticky";"Remove Sticky"
"Open";"Open"
"Rename";"Rename"
"This topic has been closed.";"This topic has been closed."

"Starts:";"Starts:"
"Ends:";"Ends:"
"Hosted by";"Hosted by"
"Location:";"Location:"

"Event Details";"Class Details"
"Edit Event Details";"Edit Class Details"
"Edit Event Style";"Edit Class Style"
"Share This Event";"Share This Class"
"Invite Guests";"Invite Guests"
"Message Members";"Message Members"
"Guests";"Guests"
"Photos";"Photos"
"Discussions";"Discussions"

"Date";"Date"
"Time";"Time"
"Where";"Where"
"Host";"Host"
"Led by";"Led by"
"RSVPs";"RSVPs"
"Map";"Map"

"%s person";"%s person";"%s people"
"attending";"attending"
"maybe attending";"maybe attending"
"not attending";"not attending"
"Attending";"Attending"
"Maybe Attending";"Maybe Attending"
"Not Attending";"Not Attending"

"Your RSVP";"Your RSVP"

"Upcoming Events";"Upcoming Classes"

"Search Guests";"Search Guests"

"View All Photos";"View All Photos"
"No photos have been uploaded to this event yet.";"No photos have been uploaded to this class yet."
"The image you selected was too large.";"The image you selected was too large."

"Event left";"You are no longer a member of this class."
"Members invited";"Members invited"
"Event joined";"You have successfully RSVPed to this class."

"Your changes have been saved.";"Your changes have been saved."
"Your invite request has been sent.";" Your request to join the class has been sent to the host. You will get notified within 24h."
"Your invite request has been cancelled.";"Your invite request has been cancelled."

"Event invite accepted";"Class invite accepted"
"Event invite rejected";"Class invite rejected"
"Event member removed.";"The selected member has been removed from this class."
"Event request approved";"Class request approved"

"Changes saved";"Your changes have been saved."
"Photo deleted";"Photo deleted"

"Max file size limit exceeded (probably).";"Max file size limit exceeded (probably)."
"Invalid request method";"Invalid request method"
"No file";"No file"
"Invalid Upload";"Invalid Upload"
"An error occurred.";"An error occurred"

"Post deleted.";"The selected post has been deleted."
"This has been closed for posting.";"This has been closed for posting."
"Topic renamed.";"This topic has been successfully renamed."
"Topic deleted.";"This topic has been deleted."

"Category:";"Category:"
"All Category";"All Category"
"View:";"View:"

"Everyone's Groups";"Everyone's Groups"
"Only My Friends' Groups";"Only My Friends' Groups"

"List By:";"List By:"
"Search:";"Search:"
"All My Events";"All My Classes"
"Only Events I Lead";"Only Classes I Lead"

"Accept Event Invitation";"Accept Class Invitation"
"Would you like to join this event?";"Would you like to join this class?"

"Approve Invite Request";"Approve Invite Request"
"Would you like to approve this invite request?";"Would you like to approve this invite request?"
"Approve Request";"Approve Request"

"Cancel Invite Request";"Cancel My Attendance"
"Would you like to cancel your request for an invite to this event?";"Would you like to cancel your request for an invite to this class?"
"Cancel Request";"Cancel Request"

"Would you like to join this event?";"Would you like to join this class?"

"Leave Event";"Leave Class"
"Are you sure you want to leave this event?";"Are you sure you want to leave this class?"

"Reject Event Invitation";"Reject Class Invitation"
"Would you like to reject the invitation to this event?";"Would you like to reject the invitation to this class?"
"Reject Invitation";"Reject Invitation"
"Cancel";"Cancel"

"Remove Member";"Remove Member"
"Are you sure you want to remove this member from the event?";"Are you sure you want to remove this member from the class?"

"Request Event Membership";"Join Class"
"Would you like to request membership in this Event?";"Are you sure you want to join this class? If you click next, the host will get notified and will get back to you within the next 24 hours."
"Send Request";"Join Class"

"Delete Event Photo";"Delete Class Photo"
"Are you sure you want to delete this photo?";"Are you sure you want to delete this photo?"
